Sample	ANC IV
Comments	
Filename	C:\Users\SR\Desktop\KV257~1.18\ANCIV_~1.ASC
Goniometer	MiniFlex 300/600 +
Attachment	Standard Sample Holder
Monochromater	None
17.96	736.667
17.98	773.333
18	788.333
18.02	783.333
18.04	766.667
18.06	761.667
18.08	816.667
18.1	776.667
18.12	760
18.14	813.333
18.16	780
18.18	785
18.2	798.333
18.22	731.667
18.24	726.667
18.26	748.333
18.28	775
18.3	783.333
18.32	766.667
18.34	771.667
18.36	793.333
18.38	790
18.4	771.667
18.42	760
18.44	770
18.46	778.333
18.48	763.333
18.5	785
18.52	818.333
18.54	778.333
18.56	746.667
18.58	738.333
18.6	743.333
18.62	783.333
18.64	798.333
18.66	811.667
18.68	770
18.7	750
18.72	726.667
18.74	761.667
18.76	800
18.78	728.333
18.8	725
18.82	775
18.84	775
18.86	790
18.88	813.333
18.9	780
18.92	775
18.94	778.333
18.96	770
18.98	781.667
19	758.333
19.02	735
19.04	760
19.06	778.333
19.08	771.667
19.1	796.667
19.12	783.333
19.14	788.333
19.16	741.667
19.18	760
19.2	773.333
19.22	776.667
19.24	771.667
19.26	788.333
19.28	798.333
19.3	808.333
19.32	783.333
19.34	833.333
19.36	798.333
19.38	823.333
19.4	850
19.42	868.333
19.44	916.667
19.46	875
19.48	860
19.5	893.333
19.52	861.667
19.54	820
19.56	801.667
19.58	818.333
19.6	788.333
19.62	785
19.64	776.667
19.66	791.667
19.68	778.333
19.7	763.333
19.72	748.333
19.74	770
19.76	821.667
19.78	726.667
19.8	706.667
19.82	766.667
19.84	796.667
19.86	766.667
19.88	800
19.9	815
19.92	786.667
19.94	811.667
19.96	818.333
19.98	801.667
20	768.333
20.02	785
20.04	756.667
20.06	778.333
20.08	788.333
20.1	763.333
20.12	708.333
20.14	741.667
20.16	760
20.18	741.667
20.2	750
20.22	746.667
20.24	745
20.26	730
20.28	695
20.3	683.333
20.32	720
20.34	736.667
20.36	756.667
20.38	726.667
20.4	690
20.42	738.333
20.44	755
20.46	756.667
20.48	738.333
20.5	753.333
20.52	726.667
20.54	735
20.56	748.333
20.58	746.667
20.6	726.667
20.62	733.333
20.64	736.667
20.66	725
20.68	746.667
20.7	756.667
20.72	748.333
20.74	745
20.76	723.333
20.78	735
20.8	736.667
20.82	738.333
20.84	761.667
20.86	758.333
20.88	748.333
20.9	741.667
20.92	726.667
20.94	723.333
20.96	731.667
20.98	763.333
21	745
21.02	720
21.04	758.333
21.06	713.333
21.08	740
21.1	760
21.12	755
21.14	745
21.16	708.333
21.18	753.333
21.2	765
21.22	748.333
21.24	743.333
21.26	745
21.28	733.333
21.3	751.667
21.32	785
21.34	746.667
21.36	733.333
21.38	718.333
21.4	788.333
21.42	806.667
21.44	798.333
21.46	756.667
21.48	770
21.5	793.333
21.52	808.333
21.54	721.667
21.56	766.667
21.58	761.667
21.6	783.333
21.62	790
21.64	768.333
21.66	751.667
21.68	753.333
21.7	765
21.72	821.667
21.74	798.333
21.76	800
21.78	786.667
21.8	825
21.82	855
21.84	845
21.86	866.667
21.88	833.333
21.9	873.333
21.92	851.667
21.94	866.667
21.96	841.667
21.98	853.333
22	926.667
22.02	903.333
22.04	858.333
22.06	866.667
22.08	893.333
22.1	923.333
22.12	888.333
22.14	898.333
22.16	923.333
22.18	915
22.2	886.667
22.22	883.333
22.24	883.333
22.26	855
22.28	860
22.3	828.333
22.32	826.667
22.34	836.667
22.36	843.333
22.38	798.333
22.4	816.667
22.42	818.333
22.44	841.667
22.46	803.333
22.48	805
22.5	753.333
22.52	761.667
22.54	756.667
22.56	775
22.58	785
22.6	783.333
22.62	785
22.64	800
22.66	835
22.68	778.333
22.7	793.333
22.72	786.667
22.74	781.667
22.76	775
22.78	741.667
22.8	776.667
22.82	778.333
22.84	796.667
22.86	750
22.88	756.667
22.9	776.667
22.92	766.667
22.94	793.333
22.96	796.667
22.98	753.333
23	748.333
23.02	758.333
23.04	816.667
23.06	771.667
23.08	783.333
23.1	780
23.12	775
23.14	728.333
23.16	760
23.18	803.333
23.2	781.667
23.22	790
23.24	803.333
23.26	771.667
23.28	771.667
23.3	750
23.32	783.333
23.34	743.333
23.36	795
23.38	871.667
23.4	840
23.42	805
23.44	815
23.46	841.667
23.48	831.667
23.5	886.667
23.52	876.667
23.54	830
23.56	838.333
23.58	908.333
23.6	910
23.62	961.667
23.64	971.667
23.66	1005
23.68	1061.67
23.7	1155
23.72	1198.33
23.74	1375
23.76	1543.33
23.78	1643.33
23.8	1736.67
23.82	1995
23.84	2265
23.86	2396.67
23.88	2470
23.9	2608.33
23.92	2483.33
23.94	2391.67
23.96	2220
23.98	1976.67
24	1738.33
24.02	1505
24.04	1378.33
24.06	1320
24.08	1301.67
24.1	1255
24.12	1273.33
24.14	1323.33
24.16	1326.67
24.18	1383.33
24.2	1446.67
24.22	1498.33
24.24	1570
24.26	1611.67
24.28	1735
24.3	1770
24.32	1726.67
24.34	1613.33
24.36	1496.67
24.38	1481.67
24.4	1291.67
24.42	1098.33
24.44	1023.33
24.46	986.667
24.48	948.333
24.5	915
24.52	876.667
24.54	835
24.56	811.667
24.58	806.667
24.6	846.667
24.62	798.333
24.64	743.333
24.66	726.667
24.68	815
24.7	800
24.72	751.667
24.74	755
24.76	730
24.78	768.333
24.8	761.667
24.82	780
24.84	810
24.86	831.667
24.88	851.667
24.9	801.667
24.92	788.333
24.94	770
24.96	808.333
24.98	808.333
25	820
25.02	810
25.04	766.667
25.06	770
25.08	785
25.1	763.333
25.12	778.333
25.14	706.667
25.16	761.667
25.18	778.333
25.2	756.667
25.22	763.333
25.24	761.667
25.26	781.667
25.28	750
25.3	791.667
25.32	783.333
25.34	770
25.36	785
25.38	803.333
25.4	820
25.42	733.333
25.44	770
25.46	735
25.48	698.333
25.5	736.667
25.52	833.333
25.54	773.333
25.56	780
25.58	765
25.6	763.333
25.62	750
25.64	718.333
25.66	736.667
25.68	778.333
25.7	788.333
25.72	751.667
25.74	796.667
25.76	743.333
25.78	706.667
25.8	743.333
